,PPG,PPG,PPG,3PM,3PM,3PM,AST,AST,AST
Period,Pre,Injury,Post,Pre,Injury,Post,Pre,Injury,Post
PLAYER_NAME,,,,,,,,,
Al Horford,7.0,10.7,7.5,1.5,1.9,1.5,2.2,3.3,2.0
Brandin Podziemski,12.2,15.8,19.0,1.7,2.0,2.4,3.5,4.4,2.0
Buddy Hield,8.0,9.5,-,1.5,1.0,-,1.5,2.5,-
Charles Bassey,-,-,10.6,-,-,0.0,-,-,1.0
De'Anthony Melton,11.4,13.7,10.0,1.4,1.5,1.8,2.1,2.9,3.2
Draymond Green,8.3,9.2,4.2,1.4,1.8,0.5,5.2,5.6,7.8
Gary Payton II,4.8,12.2,9.6,0.3,1.0,0.0,1.5,2.1,1.2
Gui Santos,4.3,16.0,9.7,0.7,1.8,1.0,1.1,4.0,3.0
Jimmy Butler III,20.0,-,-,0.8,-,-,4.9,-,-
Jonathan Kuminga,12.1,-,-,0.8,-,-,2.5,-,-
Kristaps Porziņģis,-,17.5,10.7,-,1.8,0.3,-,2.4,2.0
LJ Cryer,2.0,9.6,8.0,0.7,2.4,2.0,0.0,1.1,2.0
Malevy Leons,1.5,2.8,7.2,0.0,0.2,0.2,0.2,0.8,2.0
Moses Moody,11.2,15.6,-,2.3,3.2,-,1.5,2.2,-
Nate Williams,-,7.2,13.0,-,0.8,2.0,-,0.8,2.0
Omer Yurtseven,-,3.8,-,-,0.0,-,-,0.9,-
Pat Spencer,5.2,9.3,8.4,0.6,1.2,1.4,2.9,4.2,3.8
Quinten Post,8.0,6.6,-,1.6,0.9,-,1.3,1.6,-
Seth Curry,7.0,6.2,8.0,1.0,1.0,1.5,1.5,1.0,0.8
Stephen Curry,27.3,23.0,20.2,4.5,4.0,3.8,4.9,2.0,3.5
Trayce Jackson-Davis,4.3,0.0,-,0.0,0.0,-,0.9,0.0,-
Will Richard,7.0,6.0,0.0,1.2,0.9,0.0,1.4,1.3,0.7
